date,open,high,low,close,volume,returns,volatility_20d,cum_returns,rolling_max,drawdown,vol_state,risk_regime,risk_signal,hmm_state
2010-03-09,5121.0498046875,5131.7998046875,5094.35009765625,5101.5,0,-0.0043911007025760895,0.13193316074462058,0.9750200316437441,1.00947968493626,-0.0341360542532282,Medium Volatility,Medium Risk,NEUTRAL,0
2010-03-10,5101.60009765625,5137.39990234375,5092.0498046875,5116.25,0,0.002891306478486788,0.1306831320342879,0.97783911337789,1.00947968493626,-0.031343445569553784,Medium Volatility,Medium Risk,NEUTRAL,0
2010-03-11,5116.35009765625,5152.60009765625,5102.10009765625,5133.39990234375,0,0.0033520454129001287,0.13015899897400204,0.9811168744924427,1.00947968493626,-0.02809646480959956,Medium Volatility,Medium Risk,NEUTRAL,0
2010-03-12,5131.7998046875,5158.10009765625,5122.10009765625,5137.0,0,0.0007013086306808525,0.1242294654443799,0.9818049402242308,1.00947968493626,-0.027414860472181325,Medium Volatility,Medium Risk,NEUTRAL,1
2010-03-15,5134.4501953125,5151.0498046875,5101.2001953125,5128.89990234375,0,-0.0015768148055771425,0.1188118495865032,0.9802568156582965,1.00947968493626,-0.028948447119873093,Medium Volatility,Medium Risk,NEUTRAL,1
2010-03-16,5128.9501953125,5209.25,5125.7001953125,5198.10009765625,0,0.01349221014839408,0.12012583557063591,0.9934826466145538,1.00947968493626,-0.015846815503490055,Medium Volatility,Medium Risk,NEUTRAL,1
2010-03-17,5198.4501953125,5260.5,5177.14990234375,5231.89990234375,0,0.006502338172121647,0.11751655227331352,0.999942606750976,1.00947968493626,-0.009447518684723325,Medium Volatility,Medium Risk,NEUTRAL,1
2010-03-18,5232.5498046875,5255.64990234375,5214.39990234375,5245.89990234375,0,0.002675892173267469,0.11344284795495463,1.0026183453460977,1.00947968493626,-0.006796907052761001,Medium Volatility,Medium Risk,NEUTRAL,1
2010-03-19,5246.7998046875,5269.9501953125,5237.10009765625,5262.7998046875,0,0.003221544950981592,0.10876950085310012,1.005848325414309,1.00947968493626,-0.003597258643377581,Low Volatility,Low Risk,RISK-ON,1
2010-03-22,5260.9501953125,5260.9501953125,5187.0498046875,5205.2001953125,0,-0.010944670424988812,0.11230427631653592,0.9948396469951224,1.00947968493626,-0.014502558258081187,Low Volatility,Low Risk,RISK-ON,1
2010-03-23,5205.85009765625,5243.60009765625,5193.39990234375,5225.2998046875,0,0.003861447902253623,0.11220999909319639,0.9986811684630904,1.00947968493626,-0.01069711122899058,Low Volatility,Low Risk,RISK-ON,1
2010-03-25,5225.2998046875,5267.2998046875,5202.9501953125,5260.39990234375,0,0.006717336606171909,0.11265945517212832,1.005389646033902,1.00947968493626,-0.004051630719657503,Low Volatility,Low Risk,RISK-ON,1
2010-03-26,5260.5498046875,5293.75,5260.5498046875,5282.0,0,0.004106170264094544,0.11022310234991128,1.009517947102275,1.009517947102275,0.0,Low Volatility,Low Risk,RISK-ON,1
2010-03-29,5283.89990234375,5329.5498046875,5242.14990234375,5302.85009765625,0,0.003947386909551209,0.10923186388416303,1.0135029050316235,1.0135029050316235,0.0,Low Volatility,Low Risk,RISK-ON,1
2010-03-30,5302.9501953125,5325.0,5251.35009765625,5262.4501953125,0,-0.007618526188701069,0.11231393406302834,1.0057815066073155,1.0135029050316235,-0.007618526188701111,Low Volatility,Low Risk,RISK-ON,1
2010-03-31,5260.39990234375,5293.89990234375,5235.14990234375,5249.10009765625,0,-0.0025368596681716316,0.09707160686861876,1.0032299800682105,1.0135029050316235,-0.010136058725053673,Low Volatility,Low Risk,RISK-ON,1
2010-04-01,5249.2001953125,5298.60009765625,5249.2001953125,5290.5,0,0.007887047603118758,0.08909722848800816,1.0111425026778844,1.0135029050316235,-0.002328954699607381,Low Volatility,Low Risk,RISK-ON,1
2010-04-05,5291.39990234375,5377.5498046875,5291.39990234375,5368.39990234375,0,0.014724487731547109,0.09878231945395531,1.0260310580534107,1.0260310580534107,0.0,Low Volatility,Low Risk,RISK-ON,1
2010-04-06,5369.64990234375,5388.64990234375,5351.7001953125,5366.0,0,-0.00044704239389881106,0.09938113845556275,1.025572378673004,1.0260310580534107,-0.00044704239389875387,Low Volatility,Low Risk,RISK-ON,1
2010-04-07,5365.7001953125,5399.64990234375,5345.0498046875,5374.64990234375,0,0.0016119832917909083,0.09814225496787887,1.027225584211947,1.027225584211947,0.0,Low Volatility,Low Risk,RISK-ON,1
2010-04-08,5376.2998046875,5383.64990234375,5290.25,5304.4501953125,0,-0.013061261348508935,0.11019516423534463,1.0138087223926802,1.027225584211947,-0.013061261348508857,Low Volatility,Low Risk,RISK-ON,1
2010-04-09,5302.39990234375,5377.4501953125,5302.25,5361.75,0,0.010802213722005627,0.11455880839248439,1.0247601008851994,1.027225584211947,-0.002400138163068739,Medium Volatility,Medium Risk,NEUTRAL,1
2010-04-12,5354.14990234375,5382.14990234375,5324.89990234375,5339.7001953125,0,-0.0041124268545716935,0.11675402545046612,1.0205458499268256,1.027225584211947,-0.006502694625003857,Medium Volatility,Medium Risk,NEUTRAL,1
2010-04-13,5340.85009765625,5356.5,5301.7001953125,5322.9501953125,0,-0.0031368802343442193,0.11810635088153963,1.0173445198219482,1.027225584211947,-0.009619176685108886,Medium Volatility,Medium Risk,NEUTRAL,1
2010-04-15,5323.2998046875,5373.14990234375,5265.2998046875,5273.60009765625,0,-0.009271192824555907,0.12403819105944744,1.0079125226096737,1.027225584211947,-0.018801188267803658,Medium Volatility,Medium Risk,NEUTRAL,1
2010-04-16,5273.39990234375,5283.0498046875,5237.5498046875,5262.60009765625,0,-0.0020858616118595297,0.11599589197860333,1.0058101565706496,1.027225584211947,-0.020847833202798042,Medium Volatility,Medium Risk,NEUTRAL,1
2010-04-19,5279.0498046875,5279.0498046875,5160.89990234375,5203.64990234375,0,-0.01120172428430466,0.12104641176249173,0.994543348514392,1.027225584211947,-0.03181602580763975,Medium Volatility,Medium Risk,NEUTRAL,1
2010-04-20,5208.2998046875,5257.25,5208.2998046875,5230.10009765625,0,0.0050830082363124696,0.12211314701588553,0.9995986205462604,1.027225584211947,-0.026894738692554283,Medium Volatility,Medium Risk,NEUTRAL,1
2010-04-21,5230.2998046875,5266.2998046875,5230.2998046875,5244.89990234375,0,0.0028297364125271507,0.12197867647044322,1.0024272211607321,1.027225584211947,-0.024141107301410756,Medium Volatility,Medium Risk,NEUTRAL,1
2010-04-22,5248.60009765625,5331.7998046875,5221.10009765625,5269.35009765625,0,0.004661708663224351,0.11608476022141327,1.007100244821869,1.027225584211947,-0.019591937447233143,Medium Volatility,Medium Risk,NEUTRAL,1
2010-04-23,5269.64990234375,5311.0498046875,5269.64990234375,5304.10009765625,0,0.006594741164656526,0.11748836360165989,1.0137418102633315,1.027225584211947,-0.01312640003895527,Medium Volatility,Medium Risk,NEUTRAL,1
2010-04-26,5299.35009765625,5342.35009765625,5299.35009765625,5322.4501953125,0,0.003459606213758848,0.11586069536105281,1.0172489577292656,1.027225584211947,-0.00971220600033558,Medium Volatility,Medium Risk,NEUTRAL,1
2010-04-27,5322.10009765625,5330.5498046875,5301.39990234375,5308.35009765625,0,-0.0026491741846016437,0.11563965114731084,1.0145540880511363,1.027225584211947,-0.012335650859525567,Medium Volatility,Medium Risk,NEUTRAL,1
2010-04-28,5308.2001953125,5308.25,5202.4501953125,5215.4501953125,0,-0.017500711263329638,0.1306862153614079,0.9967986698951227,1.027225584211947,-0.029620479458917423,Medium Volatility,Medium Risk,NEUTRAL,1
2010-04-29,5215.25,5264.75,5214.7998046875,5254.14990234375,0,0.0074202045043076925,0.13117861638862166,1.0041951198753665,1.027225584211947,-0.022420064969710447,Medium Volatility,Medium Risk,NEUTRAL,1
2010-04-30,5254.2001953125,5294.7998046875,5254.2001953125,5278.0,0,0.0045392876296908025,0.13180011014082182,1.0087534503608127,1.027225584211947,-0.01798254846359346,Medium Volatility,Medium Risk,NEUTRAL,1
2010-05-03,5278.39990234375,5278.7001953125,5210.0498046875,5222.75,0,-0.010467980295566504,0.13388736889846592,0.9981938391193509,1.027225584211947,-0.02826228779617905,Medium Volatility,Medium Risk,NEUTRAL,1
2010-05-04,5223.89990234375,5250.14990234375,5134.85009765625,5148.5,0,-0.014216648317457281,0.12925502528179705,0.9840028683559385,1.027225584211947,-0.0420771411073913,Medium Volatility,Medium Risk,NEUTRAL,0
2010-05-05,5148.35009765625,5148.35009765625,5056.5,5124.89990234375,0,-0.004583878344420755,0.1294054699715532,0.9794923189168339,1.027225584211947,-0.04646814295589473,Medium Volatility,Medium Risk,NEUTRAL,0
2010-05-06,5124.39990234375,5124.89990234375,5037.75,5090.85009765625,0,-0.006643994094778005,0.12944383303533377,0.97298457773407,1.027225584211947,-0.05280340298327848,Medium Volatility,Medium Risk,NEUTRAL,0
2010-05-07,5072.2998046875,5085.64990234375,4984.60009765625,5018.0498046875,0,-0.014300223257853517,0.1308293734755182,0.9590706810460244,1.027225584211947,-0.06634852578969672,Medium Volatility,Medium Risk,NEUTRAL,0
2010-05-10,5026.60009765625,5203.2998046875,5026.60009765625,5193.60009765625,0,0.034983768555816974,0.1821266845131996,0.9926225877804083,1.027225584211947,-0.03368587870412613,High Volatility,Medium Risk,NEUTRAL,0
2010-05-11,5189.75,5206.7001953125,5126.5,5136.14990234375,0,-0.011061728710769603,0.18508018258972037,0.9816424660021994,1.027225584211947,-0.04437498336328678,High Volatility,Medium Risk,NEUTRAL,0
2010-05-12,5133.75,5172.85009765625,5098.7998046875,5156.64990234375,0,0.003991316528874078,0.18616322354118695,0.9855605118021987,1.027225584211947,-0.040560781438979066,High Volatility,Medium Risk,NEUTRAL,0
2010-05-13,5157.5498046875,5212.7001953125,5147.9501953125,5178.89990234375,0,0.004314816871684002,0.18490369857526862,0.9898130249265884,1.027225584211947,-0.03642097691137663,High Volatility,Medium Risk,NEUTRAL,0
2010-05-14,5180.5498046875,5192.75,5070.9501953125,5093.5,0,-0.01648996967581895,0.19307767603020032,0.9734910381608184,1.027225584211947,-0.05231036578236322,High Volatility,Medium Risk,NEUTRAL,0
2010-05-17,5093.89990234375,5094.5498046875,4966.25,5059.89990234375,0,-0.0065966619527338954,0.19070562432130456,0.9670692468680555,1.027225584211947,-0.058561953935406995,High Volatility,Medium Risk,NEUTRAL,0
2010-05-18,5059.5498046875,5105.2001953125,5024.25,5066.2001953125,0,0.001245141819076645,0.1894760767237952,0.9682733852292739,1.027225584211947,-0.057389730054182186,High Volatility,Medium Risk,NEUTRAL,0
2010-05-19,5065.10009765625,5065.10009765625,4908.14990234375,4919.64990234375,0,-0.028927063147710874,0.2119930619624454,0.9402640798704989,1.027225584211947,-0.08465667685658566,High Volatility,Medium Risk,NEUTRAL,0
