date,returns,bh_returns,rule_strategy_returns,hmm_strategy_returns
2010-02-02,-0.014204970688377228,-0.014204970688377228,-0.007102485344188614,-0.007102485344188614
2010-02-03,0.02106581601680957,0.02106581601680957,0.010532908008404784,0.010532908008404784
2010-02-04,-0.017539057004410386,-0.017539057004410386,-0.008769528502205193,-0.008769528502205193
2010-02-05,-0.026148821603992345,-0.026148821603992345,-0.013074410801996172,-0.013074410801996172
2010-02-08,0.008847869806840825,0.008847869806840825,0.004423934903420412,0.004423934903420412
2010-02-09,0.006774640925465425,0.006774640925465425,0.0033873204627327125,0.0033873204627327125
2010-02-10,-0.0073966819512341075,-0.0073966819512341075,-0.0036983409756170538,-0.0036983409756170538
2010-02-11,0.014640944144494794,0.014640944144494794,0.007320472072247397,0.007320472072247397
2010-02-15,-0.005158623499793458,-0.005158623499793458,-0.002579311749896729,-0.002579311749896729
2010-02-16,0.011203740667701467,0.011203740667701467,0.005601870333850734,0.005601870333850734
2010-02-17,0.011996087113216314,0.011996087113216314,0.005998043556608157,0.005998043556608157
2010-02-18,-0.005341880341880323,-0.005341880341880323,-0.0026709401709401615,-0.0026709401709401615
2010-02-19,-0.008766834976471793,-0.008766834976471793,-0.004383417488235897,-0.004383417488235897
2010-02-22,0.0023736300505272645,0.0023736300505272645,0.0011868150252636323,0.0
2010-02-23,0.002810703940827164,0.002810703940827164,0.001405351970413582,0.0
2010-02-24,-0.0023510451618440342,-0.0023510451618440342,-0.0011755225809220171,-0.0
2010-02-25,0.00023667359334722526,0.00023667359334722526,0.00011833679667361263,0.0
2010-02-26,0.012870992270692883,0.012870992270692883,0.006435496135346441,0.0
2010-03-02,0.01923901409302964,0.01923901409302964,0.00961950704651482,0.0
2010-03-03,0.014171835291259649,0.014171835291259649,0.0070859176456298245,0.0
2010-03-04,-0.001542834752772615,-0.001542834752772615,-0.0007714173763863075,-0.0
2010-03-05,0.0016633424167118438,0.0016633424167118438,0.0008316712083559219,0.0
2010-03-08,0.0069369000594723396,0.0069369000594723396,0.0034684500297361698,0.0
2010-03-09,-0.0043911007025760895,-0.0043911007025760895,-0.0021955503512880448,-0.0
2010-03-10,0.002891306478486788,0.002891306478486788,0.001445653239243394,0.0
